id,prediction,rationale
95,1,"Claim supported by narrative evidence: Chapter 44. The Vendetta  At what point shall I begin my story, your excellency?” asked Bertuccio.  “Where you please,” ..."
136,1,"Claim supported by narrative evidence: Chapter 31. Italy: Sinbad the Sailor  Towards the beginning of the year 1838, two young men belonging to the first socie..."
59,1,"Claim supported by narrative evidence: CHAPTER XXI.  A FALSE TRAIL.   Paganel, after giving his companions a brief account of the village of Tandil, added that..."
60,1,"Claim supported by narrative evidence: CHAPTER LIX.  CAPTAIN GRANT'S STORY.   Joy does not kill, for the long lost father and his recovered children were soon ..."
124,1,"Claim supported by narrative evidence: Chapter 1. Marseilles—The Arrival  On the 24th of February, 1815, the look-out at Notre-Dame de la Garde signalled the t..."
111,1,"Claim supported by narrative evidence: Chapter 77. Haydée  Scarcely had the count’s horses cleared the angle of the boulevard, when Albert, turning towards the..."
135,1,"Claim supported by narrative evidence: Chapter 33. Roman Bandits  The next morning Franz woke first, and instantly rang the bell. The sound had not yet died aw..."
27,1,Claim supported by narrative evidence: CHAPTER XLV.  THE WRECK OF THE MACQUARIE.   The next day the travelers were installed on board the Macquarie. Will Halle...
110,1,"Claim supported by narrative evidence: Chapter 44. The Vendetta  At what point shall I begin my story, your excellency?” asked Bertuccio.  “Where you please,” ..."
42,1,"Claim supported by narrative evidence: CHAPTER III.  THE CAPTAIN'S CHILDREN.   [Sidenote: THE GLENARVAN ANCESTRY.]  The castle of Malcolm, one of the most roma..."
56,1,Claim supported by narrative evidence: CHAPTER XXXVII.  A WARNING.   At sunrise the travelers left the gold regions and crossed the frontiers of the county of ...
80,1,"Claim supported by narrative evidence: CHAPTER III.  THE CAPTAIN'S CHILDREN.   [Sidenote: THE GLENARVAN ANCESTRY.]  The castle of Malcolm, one of the most roma..."
28,1,Claim supported by narrative evidence: CHAPTER XL.  A STARTLING DISCOVERY.   [Sidenote: INCREASING PERPLEXITIES.]  It was a terrible night. At two o'clock in t...
101,1,Claim supported by narrative evidence: Chapter 72. Madame de Saint-Méran  A gloomy scene had indeed just passed at the house of M. de Villefort. After the ladi...
91,1,"Claim supported by narrative evidence: Chapter 45. The Rain of Blood  As the jeweller returned to the apartment, he cast around him a scrutinizing glance—but t..."
24,1,"Claim supported by narrative evidence: CHAPTER XLIV.  A ROUGH CAPTAIN.   If ever the searchers for Captain Grant had reason to despair of seeing him again, was..."
119,1,"Claim supported by narrative evidence: Chapter 16. A Learned Italian  Seizing in his arms the friend so long and ardently desired, Dantès almost carried him to..."
93,1,"Claim supported by narrative evidence: Chapter 44. The Vendetta  At what point shall I begin my story, your excellency?” asked Bertuccio.  “Where you please,” ..."
72,1,Claim supported by narrative evidence: CHAPTER XXXI.  THE QUARTERMASTER OF THE BRITANNIA.   The astonishment that these words produced cannot be described. Gle...
16,1,"Claim supported by narrative evidence: CHAPTER VI.  AN UNEXPECTED PASSENGER.   During the first day's voyage the sea was quite rough, and the wind freshened to..."
30,1,"Claim supported by narrative evidence: CHAPTER XXIX.  THE STORM ON THE INDIAN OCEAN.   Two days after this conversation, Captain Mangles took an observation, a..."
97,1,Claim supported by narrative evidence: Chapter 15. Number 34 and Number 27  Dantès passed through all the stages of torture natural to prisoners in suspense. H...
22,1,"Claim supported by narrative evidence: CHAPTER XXXVIII.  WEALTH IN THE WILDERNESS.   [Sidenote: A PIANO IN THE DESERT.]  After a peaceful night, the travelers,..."
53,1,Claim supported by narrative evidence: CHAPTER XVIII.  IN SEARCH OF WATER.   Lake Salinas terminates the cluster of lagoons that adjoin the Ventana and Guamini...
58,1,Claim supported by narrative evidence: CHAPTER XLVIII.  INTRODUCTION TO THE CANNIBALS.   The next morning at break of day a dense fog was spreading heavily ove...
81,1,Claim supported by narrative evidence: CHAPTER XLV.  THE WRECK OF THE MACQUARIE.   The next day the travelers were installed on board the Macquarie. Will Halle...
47,1,Claim supported by narrative evidence: CHAPTER XLVII.  A DREADED COUNTRY.   What Paganel had stated was indisputable. The cruelty of the New Zealanders could n...
7,1,Claim supported by narrative evidence: CHAPTER XXXVII.  A WARNING.   At sunrise the travelers left the gold regions and crossed the frontiers of the county of ...
121,1,"Claim supported by narrative evidence: Chapter 17. The Abbé’s Chamber  After having passed with tolerable ease through the subterranean passage, which, however..."
129,1,"Claim supported by narrative evidence: Chapter 17. The Abbé’s Chamber  After having passed with tolerable ease through the subterranean passage, which, however..."
51,1,Claim supported by narrative evidence: CHAPTER V.  THE DEPARTURE OF THE DUNCAN.   It has been already said that Lady Helena had a brave and generous soul. What...
127,1,Claim supported by narrative evidence: Chapter 78. We hear From Yanina  If Valentine could have seen the trembling step and agitated countenance of Franz when ...
133,1,"Claim supported by narrative evidence: Chapter 34. The Colosseum  Franz had so managed his route, that during the ride to the Colosseum they passed not a singl..."
52,1,Claim supported by narrative evidence: CHAPTER XXIII.  A SINGULAR ABODE.   The tree upon which Glenarvan and his companions had just found refuge resembled a w...
114,1,"Claim supported by narrative evidence: Chapter 18. The Treasure  When Dantès returned next morning to the chamber of his companion in captivity, he found Faria..."
2,1,Claim supported by narrative evidence: CHAPTER XI.  TRAVELING IN CHILI.   The native troop engaged by Glenarvan consisted of three men and a boy. The leader of...
33,1,Claim supported by narrative evidence: CHAPTER XXVIII.  TRISTAN D'ACUNHA AND THE ISLE OF AMSTERDAM.   [Sidenote: LOOKING ALOFT.]  The Duncan now had before her...
15,1,"Claim supported by narrative evidence: CHAPTER VI.  AN UNEXPECTED PASSENGER.   During the first day's voyage the sea was quite rough, and the wind freshened to..."
82,1,Claim supported by narrative evidence: CHAPTER XXXI.  THE QUARTERMASTER OF THE BRITANNIA.   The astonishment that these words produced cannot be described. Gle...
37,1,Claim supported by narrative evidence: CHAPTER XLI.  THE PLOT UNVEILED.   The sound of the name of Ben Joyce fell upon the party like a thunderbolt. Ayrton sud...
3,1,"Claim supported by narrative evidence: CHAPTER III.  THE CAPTAIN'S CHILDREN.   [Sidenote: THE GLENARVAN ANCESTRY.]  The castle of Malcolm, one of the most roma..."
103,1,"Claim supported by narrative evidence: Chapter 33. Roman Bandits  The next morning Franz woke first, and instantly rang the bell. The sound had not yet died aw..."
94,1,"Claim supported by narrative evidence: Chapter 18. The Treasure  When Dantès returned next morning to the chamber of his companion in captivity, he found Faria..."
85,1,"Claim supported by narrative evidence: CHAPTER III.  THE CAPTAIN'S CHILDREN.   [Sidenote: THE GLENARVAN ANCESTRY.]  The castle of Malcolm, one of the most roma..."
21,1,Claim supported by narrative evidence: CHAPTER V.  THE DEPARTURE OF THE DUNCAN.   It has been already said that Lady Helena had a brave and generous soul. What...
49,1,"Claim supported by narrative evidence: CHAPTER XXXVIII.  WEALTH IN THE WILDERNESS.   [Sidenote: A PIANO IN THE DESERT.]  After a peaceful night, the travelers,..."
140,1,"Claim supported by narrative evidence: Chapter 53. Robert le Diable  The pretext of an opera engagement was so much the more feasible, as there chanced to be o..."
64,1,Claim supported by narrative evidence: CHAPTER XLII.  FOUR DAYS OF ANGUISH.   The rest of the day passed without any other incident. Everything was ready for t...
131,1,"Claim supported by narrative evidence: Chapter 18. The Treasure  When Dantès returned next morning to the chamber of his companion in captivity, he found Faria..."
61,1,"Claim supported by narrative evidence: CHAPTER III.  THE CAPTAIN'S CHILDREN.   [Sidenote: THE GLENARVAN ANCESTRY.]  The castle of Malcolm, one of the most roma..."
86,1,Claim supported by narrative evidence: CHAPTER XLV.  THE WRECK OF THE MACQUARIE.   The next day the travelers were installed on board the Macquarie. Will Halle...
38,1,"Claim supported by narrative evidence: CHAPTER XLIX.  A MOMENTOUS INTERVIEW.   [Sidenote: NEW ZEALAND TOPOGRAPHY.]  Long before historic times, an abyss, twent..."
132,1,"Claim supported by narrative evidence: Chapter 17. The Abbé’s Chamber  After having passed with tolerable ease through the subterranean passage, which, however..."
77,1,Claim supported by narrative evidence: CHAPTER LVII.  A DISCOURAGING CONFESSION.   As soon as the quartermaster was in Lord Glenarvan's presence his custodians...
70,1,Claim supported by narrative evidence: CHAPTER XLVII.  A DREADED COUNTRY.   What Paganel had stated was indisputable. The cruelty of the New Zealanders could n...
115,1,"Claim supported by narrative evidence: Chapter 33. Roman Bandits  The next morning Franz woke first, and instantly rang the bell. The sound had not yet died aw..."
78,1,Claim supported by narrative evidence: CHAPTER XXX.  A HOSPITABLE COLONIST.   The captain's first care was to secure anchorage. He moored the vessel in five fa...
87,1,Claim supported by narrative evidence: Chapter 6. The Deputy Procureur du Roi  In one of the aristocratic mansions built by Puget in the Rue du Grand Cours opp...
75,1,Claim supported by narrative evidence: CHAPTER XLVII.  A DREADED COUNTRY.   What Paganel had stated was indisputable. The cruelty of the New Zealanders could n...
44,1,"Claim supported by narrative evidence: CHAPTER XIX.  THE RED WOLVES.   Night came,--the night of the new moon, only the uncertain light of the stars illumined ..."
